sourceID;tp;fp;fn;Precision;Recall;F1;AP;LAG
UC1.txt;4;16;0;0.2;1.0;0.33333333333333337;0.30627705627705626;5.75
UC10.txt;7;20;0;0.25925925925925924;1.0;0.4117647058823529;0.33653291153291154;7.142857142857143
UC11.txt;2;9;0;0.18181818181818182;1.0;0.3076923076923077;0.2111111111111111;5.5
UC12.txt;3;14;1;0.17647058823529413;0.75;0.2857142857142857;0.1265123765123765;36.0
UC13.txt;4;12;1;0.25;0.8;0.38095238095238093;0.20616605616605616;28.2
UC14.txt;5;17;0;0.22727272727272727;1.0;0.37037037037037035;0.22301587301587303;9.8
UC15.txt;6;9;0;0.4;1.0;0.5714285714285715;0.3622655122655123;5.5
UC16.txt;4;14;0;0.2222222222222222;1.0;0.3636363636363636;0.29210164835164837;5.75
UC17.txt;8;16;4;0.3333333333333333;0.6666666666666666;0.4444444444444444;0.3896687247582389;17.416666666666668
UC18.txt;4;9;1;0.3076923076923077;0.8;0.4444444444444444;0.731234866828087;11.4
UC19.txt;5;16;4;0.23809523809523808;0.5555555555555556;0.33333333333333326;0.2650553960566208;22.666666666666668
UC2.txt;6;12;0;0.3333333333333333;1.0;0.5;0.7204415954415954;3.1666666666666665
UC20.txt;7;14;5;0.3333333333333333;0.5833333333333334;0.4242424242424242;0.4308740379622191;18.833333333333332
UC21.txt;6;6;1;0.5;0.8571428571428571;0.631578947368421;0.3689204070783018;8.428571428571429
UC22.txt;4;7;1;0.36363636363636365;0.8;0.5000000000000001;0.28845864661654136;10.4
UC23.txt;6;6;1;0.5;0.8571428571428571;0.631578947368421;0.4049748288470093;8.142857142857142
UC24.txt;0;5;10;0.0;0.0;0;0.06379008352296217;74.0
UC25.txt;0;5;3;0.0;0.0;0;0.028913940678646565;66.0
UC26.txt;0;5;2;0.0;0.0;0;0.03419053185271771;42.5
UC27.txt;1;5;0;0.16666666666666666;1.0;0.2857142857142857;0.2;4.0
UC28.txt;4;10;1;0.2857142857142857;0.8;0.4210526315789473;0.2712337662337662;24.8
UC29.txt;1;8;0;0.1111111111111111;1.0;0.19999999999999998;0.2;4.0
UC3.txt;6;16;0;0.2727272727272727;1.0;0.42857142857142855;0.6074786324786324;3.5
UC30.txt;4;12;0;0.25;1.0;0.4;0.5404761904761904;3.5
UC31.txt;3;3;0;0.5;1.0;0.6666666666666666;0.8055555555555555;0.6666666666666666
UC32.txt;0;1;2;0.0;0.0;0;0.02402745995423341;63.5
UC33.txt;0;0;6;1.0;0.0;0.0;0.04236175950287935;75.5
UC34.txt;3;13;2;0.1875;0.6;0.2857142857142857;0.3026460881382256;37.6
UC35.txt;0;1;4;0.0;0.0;0;0.07663211001015782;31.0
UC36.txt;0;1;2;0.0;0.0;0;0.032539682539682535;45.0
UC37.txt;0;0;0;1.0;1.0;1.0;0;0
UC38.txt;7;6;3;0.5384615384615384;0.7;0.608695652173913;0.41377927627927635;12.1
UC39.txt;7;11;3;0.3888888888888889;0.7;0.5;0.5017395075094383;12.1
UC4.txt;8;7;1;0.5333333333333333;0.8888888888888888;0.6666666666666667;0.5630673658975546;13.0
UC40.txt;4;11;3;0.26666666666666666;0.5714285714285714;0.36363636363636365;0.3873002205091757;17.142857142857142
UC41.txt;4;4;2;0.5;0.6666666666666666;0.5714285714285715;0.5486714975845411;18.833333333333332
UC42.txt;3;3;3;0.5;0.5;0.5;0.42644927536231886;21.166666666666668
UC43.txt;7;9;0;0.4375;1.0;0.6086956521739131;0.581096681096681;3.7142857142857144
UC44.txt;3;6;0;0.3333333333333333;1.0;0.5;0.3206349206349206;4.0
UC45.txt;2;6;2;0.25;0.5;0.3333333333333333;0.17691798941798942;13.0
UC46.txt;6;15;0;0.2857142857142857;1.0;0.4444444444444445;0.7021978021978023;3.6666666666666665
UC47.txt;7;5;0;0.5833333333333334;1.0;0.7368421052631579;0.7591836734693878;1.8571428571428572
UC48.txt;5;12;0;0.29411764705882354;1.0;0.45454545454545453;0.925;0.6
UC49.txt;2;10;4;0.16666666666666666;0.3333333333333333;0.2222222222222222;0.27199497634280245;50.0
UC5.txt;4;19;0;0.17391304347826086;1.0;0.29629629629629634;0.1906926406926407;10.0
UC50.txt;4;13;3;0.23529411764705882;0.5714285714285714;0.3333333333333333;0.13808295641742976;33.285714285714285
UC51.txt;4;15;1;0.21052631578947367;0.8;0.3333333333333333;0.21555555555555556;14.2
UC52.txt;6;14;0;0.3;1.0;0.4615384615384615;0.46410256410256406;4.333333333333333
UC53.txt;1;14;5;0.06666666666666667;0.16666666666666666;0.09523809523809522;0.09685381149389621;62.833333333333336
UC54.txt;2;10;6;0.16666666666666666;0.25;0.2;0.1219014441112373;50.625
UC55.txt;0;0;3;1.0;0.0;0.0;0.07503831417624522;24.0
UC56.txt;3;4;1;0.42857142857142855;0.75;0.5454545454545454;0.4895833333333333;23.75
UC57.txt;1;16;0;0.058823529411764705;1.0;0.1111111111111111;0.058823529411764705;16.0
UC58.txt;0;13;4;0.0;0.0;0;0.07014476751318857;31.5
UC6.txt;3;21;0;0.125;1.0;0.2222222222222222;0.3;5.0
UC7.txt;4;18;0;0.18181818181818182;1.0;0.3076923076923077;0.7333333333333333;1.25
UC8.txt;5;19;0;0.20833333333333334;1.0;0.3448275862068966;0.3322222222222222;6.2
UC9.txt;8;14;0;0.36363636363636365;1.0;0.5333333333333333;0.45672348484848485;5.75
