sourceID,tp,fp,fn,Precision,Recall,F1,F2,AP,LAG
UC37S3,1,19,2,0.05,0.333333333333333,0.0869565217391305,0.15625,,
UC38S1,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC38S2,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC3E1,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC3E2,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC3S1,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC3S2,3,17,0,0.15,1,0.260869565217391,0.46875,,
UC3S3,3,17,0,0.15,1,0.260869565217391,0.46875,,
UC3S4,1,19,3,0.05,0.25,0.0833333333333333,0.138888888888889,,
UC3S5,0,20,3,0,0,0,0,,
UC40S1,0,20,0,0,1,0,0,,
UC40S2,0,20,0,0,1,0,0,,
UC40S3,0,20,0,0,1,0,0,,
UC40S4,0,20,0,0,1,0,0,,
UC40S5,0,20,0,0,1,0,0,,
UC40S6,0,20,0,0,1,0,0,,
UC40S7,0,20,0,0,1,0,0,,
UC4E1,1,19,2,0.05,0.333333333333333,0.0869565217391305,0.15625,,
UC4E2,0,20,0,0,1,0,0,,
UC4S1,2,18,3,0.1,0.4,0.16,0.25,,
UC4S2,2,18,2,0.1,0.5,0.166666666666667,0.277777777777778,,
UC4S3,1,19,3,0.05,0.25,0.0833333333333333,0.138888888888889,,
UC4S4,0,20,1,0,0,0,0,,
UC5S1,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC5S2,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC6S1,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC6S2,3,17,0,0.15,1,0.260869565217391,0.46875,,
UC6S3,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC8S1,1,19,1,0.05,0.5,0.0909090909090909,0.178571428571429,,
UC8S2,0,20,2,0,0,0,0,,
UC9S1,1,19,4,0.05,0.2,0.08,0.125,,
UC9S2,1,19,1,0.05,0.5,0.0909090909090909,0.178571428571429,,
