anaphora,mean,lower,upper,metric
0,0.37367002762023405,0.3363714056451599,0.413811678975418,Precision
0.010101010101010102,0.3732140249109164,0.3359418010640554,0.4132309613841321,Precision
0.020202020202020204,0.3727872512265172,0.33564417897157894,0.41276245850478716,Precision
0.030303030303030304,0.3723604134833163,0.33538400979648514,0.41218419221833397,Precision
0.04040404040404041,0.37193963684673365,0.3349980975499965,0.41161282129497284,Precision
0.05050505050505051,0.37148952897923787,0.334655755287931,0.4111072324066746,Precision
0.06060606060606061,0.3710501819922306,0.334287963383753,0.4106758895797761,Precision
0.07070707070707072,0.37066966256911965,0.33389292070036486,0.4103108742073415,Precision
0.08080808080808081,0.3702735133050972,0.3335161943134997,0.40989254631801186,Precision
0.09090909090909091,0.36982726848410796,0.33311668889552987,0.4094893250403404,Precision
0.10101010101010102,0.3694338939437689,0.33275714679328444,0.4089617539253517,Precision
0.11111111111111112,0.36898852524626613,0.3323900098614943,0.40846445223634004,Precision
0.12121212121212122,0.36858908248430433,0.33197830342960893,0.40802925817157065,Precision
0.13131313131313133,0.36816968948945483,0.3315845266620582,0.40757461657855854,Precision
0.14141414141414144,0.36781504687242755,0.3312286610022103,0.40721268719298065,Precision
0.15151515151515152,0.36738920463908314,0.3308747735136004,0.4068276080607398,Precision
0.16161616161616163,0.3669275536085528,0.3304926701169264,0.4063669903499403,Precision
0.17171717171717174,0.3665433185241553,0.3301164957505467,0.4058845507026918,Precision
0.18181818181818182,0.3661427986024053,0.3298393456262274,0.4055404749505989,Precision
0.19191919191919193,0.3657357255132573,0.32950097817394813,0.40516969501717015,Precision
0.20202020202020204,0.3653332569302532,0.32903974166286937,0.4047466823984089,Precision
0.21212121212121213,0.36490017228519095,0.3286779687334418,0.4043962349569275,Precision
0.22222222222222224,0.3644812347609854,0.3282854947841059,0.40405200585151274,Precision
0.23232323232323235,0.36410298107302363,0.3280147534388404,0.4036645716991455,Precision
0.24242424242424243,0.36371788556415163,0.32762352603494427,0.40322827104013864,Precision
0.25252525252525254,0.36329924164665506,0.3271527952853449,0.402803385200348,Precision
