Approach,estimate__,se__
FTLR,0.3652491036259806,0.019311875597038442
LiSSA,0.3885330649633228,0.019999046557469622
LiSSA_IR-only,0.2910031193071885,0.015179838749443661
VSM,0.3779919028792207,0.020417778525745153
LSI,0.40643486999749157,0.021711031928913296
