qf,Approach,estimate__,lower__,upper__
-0.792335276880329,FTLR,0.3799921813789515,0.3489492237957882,0.4109474992276714
-0.792335276880329,LiSSA,0.39362395105220693,0.3635367263243756,0.424231285809596
-0.792335276880329,IR,0.31046076877640894,0.2829765047471241,0.33968807519882493
-0.792335276880329,VSM,0.34393052258004697,0.3114549747080883,0.37861873765207243
-0.792335276880329,LSI,0.3932410951092081,0.35895840047188404,0.42680055718645526
-0.7510651443737832,FTLR,0.37975685822234473,0.3490129188768815,0.4104669762344468
-0.7510651443737832,LiSSA,0.3937556265290214,0.36391512039365065,0.4241485836916542
-0.7510651443737832,IR,0.3100899392836205,0.28294151425288466,0.3390437631431143
-0.7510651443737832,VSM,0.34447604505108,0.31236848499762643,0.379051298763478
-0.7510651443737832,LSI,0.3928973024823358,0.3590682319373561,0.4261601118826806
-0.7097950118672375,FTLR,0.37953394731435897,0.34900071699811613,0.40991676331114557
-0.7097950118672375,LiSSA,0.39385095103348416,0.36429020633629633,0.4239522432479195
-0.7097950118672375,IR,0.30974136823833565,0.28282321683920747,0.33832061552279563
-0.7097950118672375,VSM,0.3450201961667745,0.3131564541417982,0.37946702413962546
-0.7097950118672375,LSI,0.39256468540897516,0.3591092858976874,0.42552666985176096
-0.6685248793606917,FTLR,0.37928145942224667,0.348986927150883,0.409358887927592
-0.6685248793606917,LiSSA,0.3939556228788118,0.3646892329352179,0.4239482700928729
-0.6685248793606917,IR,0.3093729892102693,0.28272626443404936,0.33773485017937427
-0.6685248793606917,VSM,0.34554245867061356,0.31392962625117493,0.37977248096189314
-0.6685248793606917,LSI,0.3922064754345224,0.3591893345118748,0.424887321784264
-0.627254746854146,FTLR,0.379057583633148,0.34898287057124305,0.40879489230045224
-0.627254746854146,LiSSA,0.39407220612246385,0.36496329597564514,0.4239317404050267
-0.627254746854146,IR,0.30898450975957775,0.28254005755706463,0.33710857509957076
-0.627254746854146,VSM,0.3461002910690514,0.31473859460376014,0.3800772540885313
-0.627254746854146,LSI,0.39185829390154525,0.3590030581506793,0.4243569641812831
-0.5859846143476002,FTLR,0.3788499475194396,0.3490520891863167,0.40845310227352105
-0.5859846143476002,LiSSA,0.3941945795008728,0.36524100108242363,0.4238951193174471
-0.5859846143476002,IR,0.3085639381485036,0.2823836271770561,0.3364832391752097
-0.5859846143476002,VSM,0.34660586231884466,0.3154377430432301,0.3802681618112217
-0.5859846143476002,LSI,0.39149955764670447,0.3588506276341323,0.42379491419796306
-0.5447144818410544,FTLR,0.37864000463630376,0.34899001405955554,0.40816852763890255
-0.5447144818410544,LiSSA,0.3943007364327408,0.3655485325615484,0.42390314773062326
-0.5447144818410544,IR,0.30816682410552876,0.2823615444270195,0.3360239076089472
-0.5447144818410544,VSM,0.34719087062066,0.31628996846127344,0.38058703334424304
-0.5447144818410544,LSI,0.39118285311241796,0.35881557019468785,0.42315031736575104
-0.5034443493345087,FTLR,0.3784413129569767,0.34906008030261026,0.4077067849419657
-0.5034443493345087,LiSSA,0.3945017908976478,0.3656077990653549,0.42379412042322645
