outlinks,mean,lower,upper,metric
0.0027103320602503977,0.3157593654018393,0.28235209535149153,0.35283496610780496,Precision
0.12376732521014011,0.3174254070744129,0.2839189769856182,0.3545316854733159,Precision
0.24482431836002938,0.31911026276941795,0.2854950247649699,0.3562191749705881,Precision
0.3658813115099191,0.32075069250990207,0.28703536619175285,0.3580279691682216,Precision
0.4869383046598088,0.32242194315377354,0.2886594037531451,0.359788448530666,Precision
0.6079952978096985,0.3241549940318401,0.2902293229989138,0.36162574001075404,Precision
0.7290522909595878,0.32589935534670694,0.29184046573409084,0.36344633841530705,Precision
0.8501092841094775,0.3276342690564763,0.29357858409391957,0.3653158481993127,Precision
0.9711662772593672,0.329403974461014,0.29525542888208345,0.3671957613235198,Precision
1.092223270409257,0.3312286124075813,0.29702999594545293,0.36909295179393736,Precision
1.2132802635591466,0.3330681787950018,0.29877260024786456,0.3710348624341949,Precision
1.3343372567090361,0.33490378021144573,0.3005685647185593,0.37295172650327274,Precision
1.4553942498589256,0.3368107914112064,0.30233833565071505,0.3749290656143077,Precision
1.5764512430088153,0.33870252222012587,0.3042014380068202,0.376950927820417,Precision
1.6975082361587048,0.3406290192241359,0.3059077989907874,0.3789304288192238,Precision
1.8185652293085945,0.3425820166381341,0.30766763871231345,0.38095213036570275,Precision
1.939622222458484,0.34453106865785826,0.3094923463128472,0.38299834417540424,Precision
2.0606792156083733,0.346503225561122,0.31138598531264255,0.3850365025215456,Precision
2.1817362087582635,0.348464444682795,0.31330019290094724,0.3871473831511209,Precision
2.3027932019081527,0.3504426478818357,0.31517995594525655,0.38930877186920065,Precision
2.4238501950580424,0.3524995851466163,0.3171301097598563,0.3914694666213494,Precision
2.544907188207932,0.3545807334468694,0.3189721134910774,0.3936422001969969,Precision
2.665964181357822,0.3566515957353236,0.3209724288175282,0.3958797939771898,Precision
2.787021174507711,0.35876129667627893,0.3229519942695718,0.3981023094937235,Precision
2.908078167657601,0.3609311095923232,0.3249348022540038,0.4003577503081695,Precision
3.0291351608074906,0.3630761639240515,0.32696227440679215,0.4025702908106935,Precision
3.1501921539573803,0.3652523879469329,0.32899797168331635,0.40467212138883923,Precision
3.2712491471072696,0.3674430322510074,0.33107660000041494,0.40706464263158504,Precision
3.3923061402571593,0.369624973953025,0.333257783923941,0.4094509706743201,Precision
3.513363133407049,0.3718512772348473,0.33537034843471225,0.4117687897645728,Precision
3.6344201265569387,0.37412713756526883,0.3374654711197896,0.41400738382298086,Precision
3.7554771197068284,0.37642713098235414,0.33971496465427287,0.4163285505330646,Precision
3.8765341128567177,0.37872036014626215,0.34188478376301223,0.4187302272668569,Precision
3.9975911060066074,0.3810253524281542,0.34409098016365924,0.4211264481801835,Precision
4.118648099156497,0.38338329278759076,0.3462636426119317,0.42360673834512297,Precision
4.239705092306387,0.385734377967733,0.34847404227901163,0.42612808315454237,Precision
4.360762085456276,0.3881046344634348,0.35075600494314635,0.4286000539884155,Precision
