qf,Approach,estimate__,lower__,upper__
0,FTLR,0.3733194864400182,0.34452927933488964,0.402263196940328
0,LiSSA,0.3948508477887455,0.3673387353041929,0.42373874116785915
0,IR,0.3039318177826708,0.27776131884927213,0.33096356421855977
0,VSM,0.3516749887258438,0.32049362215040994,0.38356044222343316
0,LSI,0.3840518504728666,0.3532443000163228,0.41492875355550113
0.010101010101010102,FTLR,0.37386150085007314,0.3451451382475369,0.4028009955130396
0.010101010101010102,LiSSA,0.39502005649378485,0.3676787765187726,0.4238336969265095
0.010101010101010102,IR,0.30412098960115824,0.27797731499125317,0.3311191180440547
0.010101010101010102,VSM,0.352711469921542,0.3218288874230338,0.38424168801895925
0.010101010101010102,LSI,0.38464234846718137,0.35402009662804945,0.41544540685631737
0.020202020202020204,FTLR,0.3744510321525726,0.34571625946061885,0.40335683100497793
0.020202020202020204,LiSSA,0.3952176936992482,0.367946970590897,0.42398887913201716
0.020202020202020204,IR,0.30424965306473467,0.2783134554222656,0.331154888488638
0.020202020202020204,VSM,0.35373044694836236,0.32301545541805027,0.3850489850059914
0.020202020202020204,LSI,0.3852843649481337,0.35478300256215034,0.4159150592818293
0.030303030303030304,FTLR,0.3749634845025235,0.3462693754817514,0.4039088979918676
0.030303030303030304,LiSSA,0.39545494875479864,0.3681696207448405,0.4242872106264786
0.030303030303030304,IR,0.3044625772547989,0.27860686453770583,0.3311153339869002
0.030303030303030304,VSM,0.3547617472011206,0.32412439611467564,0.386162468453153
0.030303030303030304,LSI,0.38592187116930005,0.3556028388621479,0.41651368435769354
0.04040404040404041,FTLR,0.37545925398841473,0.3468976602570675,0.40443098078678835
0.04040404040404041,LiSSA,0.39573197521116243,0.36844779328705374,0.42457716337575013
0.04040404040404041,IR,0.304661187722061,0.2788140000196725,0.3311831621512277
0.04040404040404041,VSM,0.35577551515370176,0.3251418303219195,0.3871815738820554
0.04040404040404041,LSI,0.3865742384983504,0.3565227333634632,0.41715481982301855
0.05050505050505051,FTLR,0.37599518633193707,0.3473987385610829,0.40489558154291005
0.05050505050505051,LiSSA,0.3959750314800183,0.36878064777433717,0.42469216576144087
0.05050505050505051,IR,0.3048549213540728,0.27884723930614175,0.3313810831593364
0.05050505050505051,VSM,0.35682399041499624,0.3261113429155401,0.3882161933055411
0.05050505050505051,LSI,0.3871781731248107,0.3573234838537042,0.417922921471143
0.06060606060606061,FTLR,0.37655561507604157,0.3479472308408639,0.40545721598960716
0.06060606060606061,LiSSA,0.3962807770716238,0.36896639761468697,0.42498757174338814
0.06060606060606061,IR,0.3050493208192409,0.27898787026450805,0.3316518323293219
0.06060606060606061,VSM,0.357844944335019,0.3270141579621533,0.38911525868342667
0.06060606060606061,LSI,0.38775872560962427,0.3579603829754676,0.41864832516886913
0.07070707070707072,FTLR,0.37708355461793136,0.34839757718645853,0.40599436173873493
