coef,mean,var
Intercept,0.13002709039111632,0.17097303668578187
Datasetitrust,0.09864922519822115,0.1661327557877905
ApproachLiSSA,0.16744178065219892,0.0929861587139889
ApproachIR,-0.536523248868066,0.09231764317274666
ApproachVSM,-0.15542892443506515,0.10542910448952768
ApproachLSI,0.08081814698762763,0.10327555720897712
sencomplexity,0.143694875038526,0.1112973013049883
maxsteplength,-0.23095306797699316,0.1107898045721087
size,0.0031203560482601553,0.040821174116744303
inconsistentloa,0.2643371788405813,0.2056400038954403
uidesign,-0.3816710069571538,0.38821821702307274
clarification,0.07662153396443477,0.18258172753810065
alternative,0.31502770768111216,0.2871612316584195
coherence,-0.08832363687182335,0.11144505735546376
happyTRUE,-0.11738617365359535,0.10283105713329951
lostfrTRUE,0.15995173046953834,0.16457685238078681
anaphora,-0.33657520483610437,0.13315416707916286
nonnounstart,0.040302903123179884,0.13594550450330756
passive,-0.05825552756322337,0.14824775067626011
negation,-0.29127235274951263,0.1727000985491005
outlinks,0.16184876074207652,0.045632920626389344
maxinlinks,-0.2963460752817891,0.044198193138072724
