coef,mean,var
Intercept,-0.8364012861616222,0.15713993507697832
Datasetitrust,0.13125255247431417,0.15215157157523146
ApproachLiSSA,0.20749374125677592,0.08411399715780628
ApproachIR,-0.8900182023348155,0.08830816037818753
ApproachVSM,0.11661276885200607,0.09464170934940871
ApproachLSI,0.3587078459230645,0.09222132061689595
sencomplexity,0.21282820554924964,0.10249301885815594
maxsteplength,-0.26564788998886957,0.10277063862726911
size,0.04477190950361673,0.04030895253524448
inconsistentloa,0.0977044868256327,0.1854104613529566
uidesign,-0.3394693040323954,0.36463335072584424
clarification,0.015645665747946756,0.17716064111184657
alternative,0.3231285955935221,0.2675828024144434
coherence,0.005161000549847796,0.10224038995142806
happyTRUE,-0.031390594286088605,0.09667751157429577
lostfrTRUE,-0.2218618868149421,0.15038763512278136
anaphora,-0.3773150997931378,0.12475678298028783
nonnounstart,-0.14590583900199264,0.12417434041404868
passive,0.05619980624751281,0.14054382538025126
negation,-0.16624029976912585,0.16958422786443939
outlinks,0.419671249417227,0.03993794991108017
maxinlinks,-0.14839945661857468,0.04134602819182143
