qf,Approach,estimate__,lower__,upper__
-1.279386043877947,FTLR,0.39210298499299134,0.3456024632394289,0.4385642713984173
-1.279386043877947,LiSSA,0.39797483702165204,0.35331105636556603,0.4418824916721402
-1.279386043877947,IR,0.2340958747423156,0.1983261652112697,0.2729896788955955
-1.279386043877947,VSM,0.4274261446760318,0.3766450466846761,0.4770731314075095
-1.279386043877947,LSI,0.4493443839702201,0.4031090984605701,0.4942014665257891
-1.2301758840609187,FTLR,0.39179863670441767,0.34604879657039495,0.4374353100249303
-1.2301758840609187,LiSSA,0.39800318250650746,0.35398638709822294,0.44127652837844233
-1.2301758840609187,IR,0.23615488121950484,0.20059382191589623,0.27460794357168006
-1.2301758840609187,VSM,0.42566854144356214,0.37564987007059103,0.47473534670104955
-1.2301758840609187,LSI,0.4478230779295079,0.4022393644507172,0.4921735694232031
-1.1809657242438905,FTLR,0.39151337293568617,0.3464362037219728,0.43645191769863684
-1.1809657242438905,LiSSA,0.39801700653753364,0.3546035265517721,0.44058324887471334
-1.1809657242438905,IR,0.23821656376946115,0.2030264758829902,0.27611380484736625
-1.1809657242438905,VSM,0.42388631459315207,0.37474839587913505,0.4724401708966437
-1.1809657242438905,LSI,0.4462666201143427,0.40114884159282066,0.4901851637935256
-1.1317555644268622,FTLR,0.3911818886348511,0.34663836240023377,0.435386675807851
-1.1317555644268622,LiSSA,0.39804065238893693,0.35533564192258105,0.44000242257878686
-1.1317555644268622,IR,0.24021854899980163,0.205434093561316,0.2777531499729956
-1.1317555644268622,VSM,0.4221452663239132,0.37378442983908633,0.4700242783789568
-1.1317555644268622,LSI,0.4446282004607961,0.4002525924506256,0.48822879377820466
-1.0825454046098337,FTLR,0.3908508974762318,0.34704686760445974,0.4344915616292131
-1.0825454046098337,LiSSA,0.39804696766653014,0.3560225282668266,0.43936009104703766
-1.0825454046098337,IR,0.24231082521586,0.20780887559607644,0.2793469166499995
-1.0825454046098337,VSM,0.4202910315999506,0.37272447347807636,0.4676195668292047
-1.0825454046098337,LSI,0.44304761651460683,0.39919580420674494,0.48611820526131433
-1.0333352447928055,FTLR,0.3905047678484137,0.34734949026755607,0.43343959030011747
-1.0333352447928055,LiSSA,0.39807960861873704,0.3566781178784574,0.43882746624347496
-1.0333352447928055,IR,0.24446679600516702,0.21020930664475532,0.28091276489315364
-1.0333352447928055,VSM,0.4184900780251507,0.3718192607971974,0.4651448315503217
-1.0333352447928055,LSI,0.4414686041917944,0.39825683046082844,0.48393967557935014
-0.9841250849757772,FTLR,0.3901480239646903,0.3477479074681409,0.43255408675815005
-0.9841250849757772,LiSSA,0.39811474005921915,0.3572971220293807,0.43842236463738166
-0.9841250849757772,IR,0.246570672948991,0.21265804434138846,0.2824104823085474
-0.9841250849757772,VSM,0.41664077013186784,0.370721414380991,0.4628321218769753
-0.9841250849757772,LSI,0.4399083217230798,0.39714017583919314,0.48184801757712487
-0.934914925158749,FTLR,0.3897457804513864,0.3481428672641644,0.4315504277697642
-0.934914925158749,LiSSA,0.39816384623932466,0.35795791291500834,0.43791885589230095
-0.934914925158749,IR,0.2486503869814204,0.21525000926758062,0.28393838694898227
-0.934914925158749,VSM,0.4148543151523631,0.36955148105698354,0.46050538195244783
-0.934914925158749,LSI,0.4382792559764606,0.39603599049362503,0.4797177284668495
-0.8857047653417206,FTLR,0.3893423319808307,0.34856164992858013,0.4305101574887863
-0.8857047653417206,LiSSA,0.39822071576508644,0.3586056792520116,0.43730898913476257
-0.8857047653417206,IR,0.2507302323828577,0.21776688760904322,0.28563115282409557
-0.8857047653417206,VSM,0.4129805822474556,0.3685552050780091,0.4580383099867599
-0.8857047653417206,LSI,0.43663082797890485,0.39501844426182586,0.47765673996593255
-0.8364946055246922,FTLR,0.38898903148603675,0.3487472081670605,0.42951869876924215
-0.8364946055246922,LiSSA,0.3982201319716548,0.35923382752599503,0.4368448125693852
-0.8364946055246922,IR,0.2528159240496619,0.2203395403757897,0.2873806347948151
-0.8364946055246922,VSM,0.41111264437832795,0.3674853517207791,0.45574075193537883
-0.8364946055246922,LSI,0.4350231770991565,0.39406440316431296,0.47564405270306676
-0.787284445707664,FTLR,0.38862210820044757,0.3490695529785505,0.42845776111230394
-0.787284445707664,LiSSA,0.39826087010510147,0.3599436306463183,0.43624447188595644
-0.787284445707664,IR,0.25494094835751024,0.2228796635270585,0.28900194694344855
-0.787284445707664,VSM,0.40929201262004755,0.3662590743290782,0.4531749107775262
-0.787284445707664,LSI,0.433380184927124,0.39285754475833407,0.47361575440417386
-0.7380742858906357,FTLR,0.3882189521931032,0.34924255375616037,0.4274551167278377
-0.7380742858906357,LiSSA,0.39828052529135516,0.3605805867647791,0.4356099892622027
-0.7380742858906357,IR,0.2570906641016153,0.22529547593767307,0.2906254085804632
-0.7380742858906357,VSM,0.4074246300879833,0.36522441302026604,0.45050642568726057
-0.7380742858906357,LSI,0.4317344080047484,0.3919319908223133,0.47131026288044664
-0.6888641260736075,FTLR,0.38782624037523983,0.3495554072485162,0.4264820288633717
-0.6888641260736075,LiSSA,0.39830691410413854,0.36128346181365895,0.43514035636987736
-0.6888641260736075,IR,0.25929694268585435,0.22794351237937152,0.2923372966515626
-0.6888641260736075,VSM,0.405524595167093,0.3640086249070228,0.4478991585062945
-0.6888641260736075,LSI,0.4301058232316105,0.39091855195141423,0.46913976638507854
-0.6396539662565791,FTLR,0.3874791522075204,0.3498273966132868,0.4254796993315274
-0.6396539662565791,LiSSA,0.3982961367397168,0.3619155496515075,0.4346551161588555
-0.6396539662565791,IR,0.26149994099885965,0.23041705661706266,0.29408501159227
