anaphora,mean,lower,upper,metric
0,0.5242769159841174,0.4884434185480529,0.5597930003906447,Recall
0.010101010101010102,0.5240526311712473,0.4882725413662014,0.5595638167133464,Recall
0.020202020202020204,0.5238449611569158,0.4881030040977994,0.5593123297043713,Recall
0.030303030303030304,0.5236293097391854,0.4879284893060725,0.559060550880743,Recall
0.04040404040404041,0.5234112586613238,0.4876569339783269,0.5588667312594143,Recall
0.05050505050505051,0.5232041662320113,0.4873029755295674,0.5586830584617055,Recall
0.06060606060606061,0.5229631967185244,0.487167653712083,0.5584342281545407,Recall
0.07070707070707072,0.522733927172012,0.4869040402232106,0.5582070943155738,Recall
0.08080808080808081,0.5225617618075306,0.4867103249142756,0.5579891680458181,Recall
0.09090909090909091,0.5223280143150743,0.4865225423963898,0.5577429901040113,Recall
0.10101010101010102,0.5221261429871449,0.48631815323882077,0.5575739658615401,Recall
0.11111111111111112,0.5219116982129032,0.4860799943937108,0.5573790276478231,Recall
0.12121212121212122,0.521683262782103,0.48590481931997337,0.5572020638824414,Recall
0.13131313131313133,0.521470209704609,0.48571462345440675,0.5570208532878224,Recall
0.14141414141414144,0.521267532571263,0.4855942484757015,0.5568652865482532,Recall
0.15151515151515152,0.5210634781818126,0.48539498163241607,0.5566339001160722,Recall
0.16161616161616163,0.5208550619217432,0.48516122413130036,0.5564666051247676,Recall
0.17171717171717174,0.520634449884747,0.48498552171768533,0.556210377061049,Recall
0.18181818181818182,0.5204311262671412,0.4847854957475174,0.5560044376812003,Recall
0.19191919191919193,0.5202043833122962,0.48458072442196226,0.555770574708738,Recall
0.20202020202020204,0.5200205579589163,0.4843361175077374,0.5556415442473286,Recall
0.21212121212121213,0.5198205671288343,0.484103050236115,0.5553940966724795,Recall
0.22222222222222224,0.5196196139138695,0.4839092466689386,0.555203896802934,Recall
0.23232323232323235,0.5193816259654938,0.4836502656848166,0.5550207918438453,Recall
0.24242424242424243,0.5191616715632501,0.48343072210406707,0.5548159235369106,Recall
0.25252525252525254,0.5189465758156306,0.48313542222200273,0.5545567105059264,Recall
0.26262626262626265,0.5187403895595459,0.4829043183296561,0.5543938479083065,Recall
0.27272727272727276,0.5185396900145214,0.48274068428657946,0.5542943905565032,Recall
0.2828282828282829,0.5183475231910015,0.4825564729571725,0.5540800977039957,Recall
0.29292929292929293,0.5181610099027425,0.4822643524288379,0.5539206232729926,Recall
0.30303030303030304,0.5179495283580093,0.48194587784371595,0.553794707719272,Recall
0.31313131313131315,0.5177597817265944,0.48166581546036463,0.5535715459868755,Recall
0.32323232323232326,0.5175661414057766,0.48135863821927466,0.5533638336323866,Recall
0.33333333333333337,0.5173277778828158,0.48109637941452377,0.5532147233919054,Recall
0.3434343434343435,0.5171133767742642,0.48085089209169446,0.5530065468415294,Recall
0.3535353535353536,0.5168977953965066,0.48065718992928513,0.5528994362587998,Recall
0.36363636363636365,0.5166920013649019,0.4803779882586859,0.5527696749699946,Recall
0.37373737373737376,0.5164827143636976,0.48008714840566125,0.5526096999834,Recall
0.38383838383838387,0.5163280231620178,0.4799410086180492,0.5524610315277078,Recall
0.393939393939394,0.5161190895026332,0.47969875527671063,0.5523231264554935,Recall
0.4040404040404041,0.5159235102430744,0.47946766037202954,0.5522431705008723,Recall
0.4141414141414142,0.5157205409623251,0.47914533050830616,0.5521108600482146,Recall
0.42424242424242425,0.5155290064025482,0.4789641649899943,0.5519336015983219,Recall
0.43434343434343436,0.5152763221259112,0.4787955903636163,0.5517848374350085,Recall
0.4444444444444445,0.5150657933688866,0.4785674791028871,0.5516325648331629,Recall
0.4545454545454546,0.514881881558609,0.4782585500800261,0.5514414031137068,Recall
0.4646464646464647,0.5146652890102824,0.47803784781113307,0.5512734500777987,Recall
0.4747474747474748,0.5144456174970844,0.4777292682581394,0.5511321166352023,Recall
0.48484848484848486,0.5142481465733069,0.4773677957784317,0.5509840474992256,Recall
0.494949494949495,0.5140278537916416,0.47710080299234564,0.5508097092237338,Recall
0.5050505050505051,0.5138385005550304,0.47683328712830936,0.5506858216477375,Recall
0.5151515151515152,0.5136202594760497,0.4765848945527137,0.5504654270151,Recall
0.5252525252525253,0.513437270815791,0.47632089063922406,0.5503320071833099,Recall
0.5353535353535354,0.5132504405620707,0.47601585407171226,0.5501750166531838,Recall
0.5454545454545455,0.513045414557346,0.4757196924239352,0.5500302963325455,Recall
0.5555555555555556,0.5128385182414811,0.4754281198173759,0.54980507473758,Recall
0.5656565656565657,0.51260621477952,0.4751607549774426,0.5496389654879367,Recall
0.5757575757575758,0.5124091490031308,0.4749645942039184,0.5495235449029092,Recall
0.5858585858585859,0.5122341952173926,0.4746989815727237,0.5493093129913306,Recall
0.595959595959596,0.5119896768581061,0.47443214393603284,0.5492252077518258,Recall
0.6060606060606061,0.5118243798209251,0.47422170913012707,0.5491166278839715,Recall
0.6161616161616162,0.5116353195717468,0.4739259859513751,0.5489309804700802,Recall
0.6262626262626263,0.5114028098077927,0.4736278163171416,0.5487798256315048,Recall
0.6363636363636365,0.5111789277488368,0.47322194416649066,0.5486028892325949,Recall
0.6464646464646465,0.5109496653196288,0.47291923002390035,0.5484300378974831,Recall
0.6565656565656566,0.5107117436225831,0.47262689807869623,0.548282054055318,Recall
0.6666666666666667,0.5104759928136623,0.47226136926619594,0.5481882322347038,Recall
0.6767676767676768,0.5102600301993439,0.4718855892489419,0.5481426268991232,Recall
0.686868686868687,0.5100525482825748,0.47153916285687014,0.548038741536768,Recall
0.696969696969697,0.5098455215371767,0.4712276288453751,0.54791536286421,Recall
0.7070707070707072,0.5096475288420558,0.47094864995072255,0.5478287265894862,Recall
0.7171717171717172,0.5094369204471624,0.47054214839391256,0.5477102851866555,Recall
0.7272727272727273,0.5092041396492781,0.47020323608645576,0.5476124793749749,Recall
0.7373737373737375,0.5090126510660882,0.4698235058967173,0.5474829823139975,Recall
0.7474747474747475,0.5087899611192747,0.46951299741031355,0.5473749437836669,Recall
0.7575757575757577,0.508571997741297,0.46920781701284553,0.5472143294281733,Recall
0.7676767676767677,0.50835035628398,0.46882435854564297,0.5470497765543727,Recall
0.7777777777777778,0.5081654024566259,0.4685358421945553,0.5468956670903087,Recall
0.787878787878788,0.5079256407012638,0.4682281530036134,0.5467799189081198,Recall
0.797979797979798,0.5077295396335029,0.46795477988869777,0.5465760105953694,Recall
0.8080808080808082,0.5074799109097126,0.4676912903023061,0.546426864001344,Recall
0.8181818181818182,0.5073050031028079,0.4674364581436004,0.5463060834334004,Recall
0.8282828282828284,0.5070778731581176,0.46720296613234713,0.546191694636505,Recall
0.8383838383838385,0.5068602664897015,0.4669502327406031,0.5461321075124205,Recall
0.8484848484848485,0.5066441969982118,0.4666040164546135,0.5460550002259568,Recall
0.8585858585858587,0.5064479273372691,0.46631338714167675,0.5460074121288282,Recall
0.8686868686868687,0.5062419936595941,0.465993631222647,0.5458899308965661,Recall
0.8787878787878789,0.5060323782979925,0.46567352430000125,0.545840621404516,Recall
0.888888888888889,0.5058379231818766,0.4652674091928461,0.545718730452938,Recall
0.8989898989898991,0.5056466678424342,0.4649319480890026,0.545617719790353,Recall
0.9090909090909092,0.5054650129929245,0.4646707315068877,0.5454194051975353,Recall
0.9191919191919192,0.505249590047362,0.4642892287224311,0.5452461614128621,Recall
0.9292929292929294,0.5050439723986969,0.46396937669748123,0.5451165923559759,Recall
0.9393939393939394,0.5047898567955578,0.4637154661212665,0.5450042405602152,Recall
0.9494949494949496,0.5045938400109975,0.46343802218886665,0.5448393733327637,Recall
0.9595959595959597,0.5043864895938188,0.4631040345108275,0.5448071949711268,Recall
0.9696969696969697,0.5041787345179407,0.4626834395024739,0.5447566121711662,Recall
0.9797979797979799,0.5040046744557531,0.46236256704755113,0.544604830384596,Recall
0.98989898989899,0.5037970921629621,0.46199414507380815,0.5445283857252804,Recall
1,0.503583762732195,0.4617458092344204,0.5444965838850905,Recall
