alternative,mean,lower,upper,metric
0,0.3641676922345304,0.32783927823179065,0.4034882740537581,Precision
0.010101010101010102,0.36443667479377206,0.32820055306641377,0.4036874587022667,Precision
0.020202020202020204,0.3647633166111812,0.32849346182908745,0.4040949626199075,Precision
0.030303030303030304,0.3651196694568897,0.32884706116092266,0.40443323621858446,Precision
0.04040404040404041,0.3654149523628478,0.329215540418209,0.40491916808357764,Precision
0.05050505050505051,0.36577094642355557,0.32951289056330324,0.40523346405773025,Precision
0.06060606060606061,0.36609212331038565,0.3298672458767009,0.4055500396954921,Precision
0.07070707070707072,0.36643687248320955,0.3303611829347415,0.4060352337905225,Precision
0.08080808080808081,0.3668023136640981,0.33066989084546977,0.4064583647205426,Precision
0.09090909090909091,0.3671298701577038,0.3309879951807315,0.406748183018575,Precision
0.10101010101010102,0.3674246272233713,0.331330842815193,0.4069908514965385,Precision
0.11111111111111112,0.36782620508884056,0.3315780038705318,0.4075462230473612,Precision
0.12121212121212122,0.368158588796925,0.3317832533783983,0.4077681460203471,Precision
0.13131313131313133,0.3684478918177989,0.3320240904420215,0.4081353545768151,Precision
0.14141414141414144,0.3688331771306214,0.3322771321932025,0.40841752327831365,Precision
0.15151515151515152,0.3691828221354251,0.33257615572616994,0.40886243800185335,Precision
0.16161616161616163,0.3694839654065067,0.33272989027397837,0.4092925979883849,Precision
0.17171717171717174,0.36979701507287405,0.3330065525180034,0.4096976375668175,Precision
0.18181818181818182,0.3701627941444004,0.3333492960082005,0.4101392910538936,Precision
0.19191919191919193,0.37053914561274537,0.33358295589165465,0.4106453176516243,Precision
0.20202020202020204,0.37093575585860317,0.3337079651445469,0.41114057926928926,Precision
0.21212121212121213,0.3713238733512969,0.33389117883271596,0.41157556451979715,Precision
0.22222222222222224,0.3716971727455507,0.33399778391085266,0.4120161043011651,Precision
0.23232323232323235,0.37204538819359523,0.3342321532924008,0.41251372982929185,Precision
0.24242424242424243,0.37242341320041134,0.33434572734650564,0.4130064924049259,Precision
0.25252525252525254,0.3728205709374274,0.33448607347547255,0.4135119099102172,Precision
0.26262626262626265,0.3731679770552916,0.334658495286175,0.4141430548570156,Precision
0.27272727272727276,0.37354278946901814,0.33478102987032027,0.4146403411616096,Precision
0.2828282828282829,0.3739081752369563,0.3349328244779423,0.41518463650727383,Precision
0.29292929292929293,0.37425045901781717,0.3350435734780958,0.41592242373489574,Precision
0.30303030303030304,0.3745780104855893,0.3353457403779984,0.4164510109832619,Precision
