coef,mean,var
Intercept,-0.10652934354707803,0.36654108398931107
Datasetitrust,0.2199370815205665,0.2813094413694727
sencomplexity,-0.009315295632831594,0.054031970835301035
maxsteplength,-0.005377629987327108,0.013324558858840907
size,-0.005925091198581183,0.0077969667925712974
inconsistentloa,0.4746189323212145,0.3231865481005382
uidesign,-0.06011477798603322,0.4696229162005927
clarification,-0.19630638881649412,0.3456360917955468
alternative,0.11471183614137777,0.4075081342031375
coherence,-0.04260180869817128,0.22206236353188286
happyTRUE,-0.09629904901138499,0.21680836504498668
lostfrTRUE,0.15477967948670396,0.2900418238520263
anaphora,0.00504527180012132,0.27233360440320736
nonnounstart,-0.3436635680492282,0.2532976484702573
passive,-0.09327769266458738,0.30585177169906624
negation,0.08483856822471277,0.4102134038777472
outlinks,0.135481272593227,0.0389532308357985
maxinlinks,-0.029527849771160523,0.008924592369904985
