Approach,estimate__,se__
FTLR,0.33289163424314117,0.023946133352629653
LiSSA,0.35557806458979746,0.023147439614536403
LiSSA_IR-only,0.2611243939149508,0.02126689796436302
VSM,0.31174447345256356,0.024601072846957377
LSI,0.3436501471315665,0.02462292492753535
