Approach,estimate__,se__
FTLR,0.5199860530156869,0.018027416139812017
LiSSA,0.5267770295382168,0.018094003510554183
LiSSA_IR-only,0.544363037770831,0.01759776293837026
VSM,0.500317746257378,0.01884692015072664
LSI,0.512643322375917,0.01847113633052424
